order_id,order_date,customer,city,SUN-SEEKER-100,SUN-SAND-100,SUN-BUNDLE-100,product_subtotal,shipping_charge,lalamove_cost
TSP-2025-0001,2025-01-03,Demo Customer Coral,Pasig,0,3,6,7779.00,0.00,150.00
TSP-2025-0002,2025-01-06,Demo Customer Dalisay,Manila,0,7,3,7162.00,0.00,150.00
TSP-2025-0003,2025-01-09,Demo Customer Estrella,Quezon City,5,7,3,9887.00,0.00,180.00
TSP-2025-0004,2025-01-12,Demo Customer Flores,Muntinlupa,6,0,0,3270.00,0.00,180.00
TSP-2025-0005,2025-01-15,Demo Customer Ginto,Makati,3,0,4,5631.00,0.00,120.00
TSP-2025-0006,2025-01-18,Demo Customer Hiraya,Taguig,7,0,4,7811.00,0.00,120.00
TSP-2025-0007,2025-01-21,Demo Customer Isla,Pasig,6,3,5,10050.00,0.00,150.00
TSP-2025-0008,2025-01-24,Demo Customer Jasmin,Manila,0,3,0,1785.00,0.00,150.00
TSP-2025-0009,2025-01-27,Demo Customer Kidlat,Quezon City,5,4,0,5105.00,0.00,180.00
TSP-2025-0010,2025-01-30,Demo Customer Luntian,Muntinlupa,0,3,7,8778.00,0.00,180.00
TSP-2025-0011,2025-01-04,Demo Customer Aurora,Makati,6,7,2,9433.00,0.00,120.00
TSP-2025-0012,2025-01-07,Demo Customer Bayani,Taguig,5,0,0,2725.00,0.00,120.00
TSP-2025-0013,2025-01-10,Demo Customer Coral,Pasig,0,2,3,4187.00,0.00,150.00
TSP-2025-0014,2025-01-13,Demo Customer Dalisay,Manila,3,3,0,3420.00,0.00,150.00
TSP-2025-0015,2025-01-16,Demo Customer Estrella,Quezon City,5,6,7,13288.00,0.00,180.00
TSP-2025-0016,2025-01-19,Demo Customer Flores,Muntinlupa,6,0,0,3270.00,0.00,180.00
TSP-2025-0017,2025-01-22,Demo Customer Ginto,Makati,0,7,5,9160.00,0.00,120.00
TSP-2025-0018,2025-01-25,Demo Customer Hiraya,Taguig,6,0,6,9264.00,0.00,120.00
TSP-2025-0019,2025-02-04,Demo Customer Jasmin,Manila,7,4,0,6195.00,0.00,150.00
TSP-2025-0020,2025-02-07,Demo Customer Kidlat,Quezon City,6,2,7,11453.00,0.00,180.00
TSP-2025-0021,2025-02-10,Demo Customer Luntian,Muntinlupa,2,0,0,1090.00,150.00,180.00
TSP-2025-0022,2025-02-13,Demo Customer Aurora,Makati,2,0,5,6085.00,0.00,120.00
TSP-2025-0023,2025-02-16,Demo Customer Bayani,Taguig,4,0,2,4178.00,0.00,120.00
TSP-2025-0024,2025-02-19,Demo Customer Coral,Pasig,3,5,7,11603.00,0.00,150.00
TSP-2025-0025,2025-02-22,Demo Customer Dalisay,Manila,0,0,5,4995.00,0.00,150.00
TSP-2025-0026,2025-02-25,Demo Customer Estrella,Quezon City,0,4,2,4378.00,0.00,180.00
TSP-2025-0027,2025-02-02,Demo Customer Flores,Muntinlupa,4,0,5,7175.00,0.00,180.00
TSP-2025-0028,2025-02-05,Demo Customer Ginto,Makati,6,3,2,7053.00,0.00,120.00
TSP-2025-0029,2025-02-08,Demo Customer Hiraya,Taguig,0,0,7,6993.00,0.00,120.00
TSP-2025-0030,2025-02-11,Demo Customer Isla,Pasig,4,4,0,4560.00,0.00,150.00
TSP-2025-0031,2025-02-14,Demo Customer Jasmin,Manila,4,0,6,8174.00,0.00,150.00
TSP-2025-0032,2025-02-17,Demo Customer Kidlat,Quezon City,2,3,2,4873.00,0.00,180.00
TSP-2025-0033,2025-02-20,Demo Customer Luntian,Muntinlupa,5,0,0,2725.00,0.00,180.00
TSP-2025-0034,2025-02-23,Demo Customer Aurora,Makati,6,0,4,7266.00,0.00,120.00
TSP-2025-0035,2025-02-26,Demo Customer Bayani,Taguig,0,6,6,9564.00,0.00,120.00
TSP-2025-0036,2025-02-03,Demo Customer Coral,Pasig,3,7,3,8797.00,0.00,150.00
TSP-2025-0037,2025-03-05,Demo Customer Estrella,Quezon City,6,6,6,12834.00,0.00,180.00
TSP-2025-0038,2025-03-08,Demo Customer Flores,Muntinlupa,5,0,0,2725.00,0.00,180.00
TSP-2025-0039,2025-03-11,Demo Customer Ginto,Makati,3,3,0,3420.00,0.00,120.00
TSP-2025-0040,2025-03-14,Demo Customer Hiraya,Taguig,0,6,3,6567.00,0.00,120.00
TSP-2025-0041,2025-03-17,Demo Customer Isla,Pasig,7,4,7,13188.00,0.00,150.00
TSP-2025-0042,2025-03-20,Demo Customer Jasmin,Manila,3,0,0,1635.00,0.00,150.00
TSP-2025-0043,2025-03-23,Demo Customer Kidlat,Quezon City,6,2,0,4460.00,0.00,180.00
TSP-2025-0044,2025-03-26,Demo Customer Luntian,Muntinlupa,5,7,0,6890.00,0.00,180.00
TSP-2025-0045,2025-03-29,Demo Customer Aurora,Makati,2,2,5,7275.00,0.00,120.00
TSP-2025-0046,2025-03-03,Demo Customer Bayani,Taguig,2,0,0,1090.00,150.00,120.00
TSP-2025-0047,2025-03-06,Demo Customer Coral,Pasig,7,7,0,7980.00,0.00,150.00
TSP-2025-0048,2025-03-09,Demo Customer Dalisay,Manila,0,4,4,6376.00,0.00,150.00
TSP-2025-0049,2025-03-12,Demo Customer Estrella,Quezon City,6,2,3,7457.00,0.00,180.00
TSP-2025-0050,2025-03-15,Demo Customer Flores,Muntinlupa,0,0,2,1998.00,0.00,180.00
TSP-2025-0051,2025-03-18,Demo Customer Ginto,Makati,3,2,0,2825.00,0.00,120.00
TSP-2025-0052,2025-03-21,Demo Customer Hiraya,Taguig,4,4,0,4560.00,0.00,120.00
TSP-2025-0053,2025-03-24,Demo Customer Isla,Pasig,5,7,7,13883.00,0.00,150.00
TSP-2025-0054,2025-03-27,Demo Customer Jasmin,Manila,0,0,5,4995.00,0.00,150.00
TSP-2025-0055,2025-04-06,Demo Customer Luntian,Muntinlupa,0,2,0,1190.00,150.00,180.00
TSP-2025-0056,2025-04-09,Demo Customer Aurora,Makati,6,7,0,7435.00,0.00,120.00
TSP-2025-0057,2025-04-12,Demo Customer Bayani,Taguig,3,0,7,8628.00,0.00,120.00
TSP-2025-0058,2025-04-15,Demo Customer Coral,Pasig,6,5,5,11240.00,0.00,150.00
TSP-2025-0059,2025-04-18,Demo Customer Dalisay,Manila,0,6,0,3570.00,0.00,150.00
TSP-2025-0060,2025-04-21,Demo Customer Estrella,Quezon City,0,7,5,9160.00,0.00,180.00
TSP-2025-0061,2025-04-24,Demo Customer Flores,Muntinlupa,5,0,2,4723.00,0.00,180.00
TSP-2025-0062,2025-04-27,Demo Customer Ginto,Makati,5,6,2,8293.00,0.00,120.00
TSP-2025-0063,2025-04-02,Demo Customer Hiraya,Taguig,2,0,0,1090.00,150.00,120.00
TSP-2025-0064,2025-04-05,Demo Customer Isla,Pasig,0,2,2,3188.00,0.00,150.00
TSP-2025-0065,2025-04-08,Demo Customer Jasmin,Manila,5,3,0,4510.00,0.00,150.00
TSP-2025-0066,2025-04-11,Demo Customer Kidlat,Quezon City,4,5,6,11149.00,0.00,180.00
